Date,CO2
1789-01-15,278.5247858936962
1789-02-15,278.55961044882997
1789-03-15,278.59447374548444
1789-04-15,278.6293758637577
1789-05-15,278.66431688374763
1789-06-15,278.69929688555266
1789-07-15,278.7343159492704
1789-08-15,278.7693741549992
1789-09-15,278.8044715828369
1789-10-15,278.83960831288175
1789-11-15,278.8747844252316
1789-12-15,278.9099999999847
1790-01-15,278.94525182203034
1790-02-15,278.9805234954248
1790-03-15,279.01579532901525
1790-04-15,279.05104763164934
1790-05-15,279.08626071217435
1790-06-15,279.12141487943785
1790-07-15,279.15649044228735
1790-08-15,279.1914677095702
1790-09-15,279.2263269901339
1790-10-15,279.2610485928259
1790-11-15,279.2956128264936
1790-12-15,279.32999999998464
1791-01-15,279.36419524401634
1791-02-15,279.39820297678637
1791-03-15,279.43203243836246
1791-04-15,279.46569286881225
1791-05-15,279.4991935082034
1791-06-15,279.5325435966036
1791-07-15,279.56575237408055
1791-08-15,279.598829080702
1791-09-15,279.63178295653535
1791-10-15,279.6646232416486
1791-11-15,279.69735917610933
1791-12-15,279.729999999985
1792-01-15,279.76255053514603
1792-02-15,279.7949979306717
1792-03-15,279.8273249174437
1792-04-15,279.8595142263441
1792-05-15,279.89154858825464
1792-06-15,279.9234107340571
1792-07-15,279.95508339463345
1792-08-15,279.9865493008653
1792-09-15,280.01779118363464
1792-10-15,280.04879177382327
1792-11-15,280.0795338023131
1792-12-15,280.1099999999858
1793-01-15,280.14017437456965
1793-02-15,280.170046041179
1793-03-15,280.1996053917741
1793-04-15,280.22884281831574
1793-05-15,280.2577487127644
1793-06-15,280.28631346708056
1793-07-15,280.31452747322476
1793-08-15,280.34238112315774
1793-09-15,280.36986480883996
1793-10-15,280.39696892223196
1793-11-15,280.42368385529426
1793-12-15,280.4499999999874
1794-01-15,280.475912846121
1794-02-15,280.50143827489967
1794-03-15,280.5265972653773
1794-04-15,280.55141079660734
1794-05-15,280.5758998476438
1794-06-15,280.60008539754045
1794-07-15,280.6239884253507
1794-08-15,280.6476299101285
1794-09-15,280.67103083092746
1794-10-15,280.6942121668014
1794-11-15,280.71719489680396
1794-12-15,280.73999999998887
1795-01-15,280.7626557223531
1795-02-15,280.7852193776669
1795-03-15,280.80775554664365
1795-04-15,280.83032880999684
1795-05-15,280.85300374843985
1795-06-15,280.8758449426862
1795-07-15,280.89891697344933
1795-08-15,280.9222844214426
1795-09-15,280.94601186737964
1795-10-15,280.97016389197375
1795-11-15,280.9948050759385
1795-12-15,281.01999999998714
1796-01-15,281.0457964403225
1796-02-15,281.07217495510343
1796-03-15,281.0990992979779
1796-04-15,281.1265332225939
1796-05-15,281.1544404825997
1796-06-15,281.18278483164306
1796-07-15,281.2115300233722
1796-08-15,281.2406398114351
1796-09-15,281.2700779494797
1796-10-15,281.29980819115406
1796-11-15,281.32979429010635
1796-12-15,281.35999999998444
1797-01-15,281.39039115516647
1797-02-15,281.42094191295007
1797-03-15,281.4516285113631
1797-04-15,281.4824271884333
1797-05-15,281.51331418218837
1797-06-15,281.54426573065615
1797-07-15,281.57525807186437
1797-08-15,281.60626744384086
1797-09-15,281.6372700846133
1797-10-15,281.6682422322094
1797-11-15,281.699160124657
1797-12-15,281.7299999999839
1798-01-15,281.7607350037348
1798-02-15,281.79132591152256
1798-03-15,281.8217304064769
1798-04-15,281.85190617172776
1798-05-15,281.8818108904049
1798-06-15,281.9114022456381
1798-07-15,281.94063792055726
1798-08-15,281.9694755982922
1798-09-15,281.9978729619728
1798-10-15,282.02578769472865
1798-11-15,282.05317747968974
1798-12-15,282.07999999998583
1799-01-15,282.1062174409117
1799-02-15,282.1318099964221
1799-03-15,282.1567623626365
1799-04-15,282.18105923567475
1799-05-15,282.2046853116563
1799-06-15,282.22762528670074
1799-07-15,282.2498638569279
1799-08-15,282.27138571845734
1799-09-15,282.2921755674086
1799-10-15,282.31221809990143
1799-11-15,282.3314980120554
1799-12-15,282.34999999999013
1800-01-15,282.36771699179656
1800-02-15,282.38467484345057
1800-03-15,282.4009076428995
1800-04-15,282.4164494780902
1800-05-15,282.4313344369703
1800-06-15,282.4455966074867
1800-07-15,282.4592700775868
1800-08-15,282.47238893521774
1800-09-15,282.48498726832673
1800-10-15,282.4970991648609
1800-11-15,282.50875871276753
1800-12-15,282.51999999999384
1801-01-15,282.5308486196222
1801-02-15,282.5412961852756
1801-03-15,282.55132581571235
1801-04-15,282.56092062969054
1801-05-15,282.57006374596864
1801-06-15,282.5787382833045
1801-07-15,282.58692736045657
1801-08-15,282.59461409618314
1801-09-15,282.6017816092422
1801-10-15,282.608413018392
1801-11-15,282.61449144239094
